Date,Open,High,Low,Close,Adj Close,Volume
"May 8, 2026",192.58,198.0,190.21,195.95,195.95,"20,579,655"
"May 1, 2026",166.42,200.15,166.15,195.95,195.95,"163,911,400"
"Apr 9, 2026",,,,0.5 Dividend,,
"Apr 1, 2026",149.09,189.18,134.57,161.39,160.83,"651,513,600"
"Mar 1, 2026",141.62,171.76,136.95,147.11,146.6,"621,098,900"
"Feb 1, 2026",170.92,171.2,135.25,145.4,144.89,"578,683,700"
"Jan 9, 2026",,,,0.5 Dividend,,
"Jan 1, 2026",197.47,207.8,161.52,164.58,163.57,"470,011,900"
"Dec 1, 2025",200.5,225.32,177.07,194.91,193.72,"690,949,100"
"Nov 1, 2025",265.24,265.62,185.63,201.95,200.72,"447,111,600"
"Oct 9, 2025",,,,0.5 Dividend,,
"Oct 1, 2025",278.8,322.54,256.28,262.61,260.55,"483,229,200"
"Sep 1, 2025",222.0,345.72,218.79,281.24,279.04,"771,912,000"
"Aug 1, 2025",247.83,258.49,223.11,226.13,224.36,"218,404,000"
"Jul 10, 2025",,,,0.5 Dividend,,
"Jul 1, 2025",219.3,260.87,216.31,253.77,251.25,"269,790,200"
"Jun 1, 2025",164.17,228.22,162.6,218.63,216.46,"359,459,900"
